date,flow,R-MLR
1960-01-31,123.99193548387096,139.45736368917267
1960-02-29,135.01756066411238,145.47419862082654
1960-03-31,182.9823775388292,183.37819813033767
1960-04-30,220.98765432098764,234.48596503263772
1960-05-31,252.01612903225808,276.5232330761417
1960-06-30,574.074074074074,578.6159112363769
1960-07-31,1180.1821983273596,1104.8940731314478
1960-08-31,1279.868578255675,1234.8638893348946
1960-09-30,1050.1543209876545,1034.78008799181
1960-10-31,819.1457586618877,811.7150336699555
1960-11-30,486.88271604938274,483.6781891705254
1960-12-31,219.0113500597372,224.49795894642833
1961-01-31,173.01373954599762,192.49102432391268
1961-02-28,167.989417989418,184.6133382039517
1961-03-31,241.0020908004779,255.50771135841757
1961-04-30,476.8518518518519,494.4841087552564
1961-05-31,673.9097968936678,660.4570579529922
1961-06-30,834.104938271605,809.2065166605488
1961-07-31,1699.895459976105,1674.819186713231
1961-08-31,1099.910394265233,1114.6044616983718
1961-09-30,1079.861111111111,1084.9504289209187
1961-10-31,1310.110513739546,1324.871721820616
1961-11-30,755.0154320987655,720.6365686356995
1961-12-31,286.9997013142174,293.516413068259
1962-01-31,196.01254480286727,217.47660105957547
1962-02-28,192.00562169312167,209.50554582936405
1962-03-31,205.01045400238948,226.47738430814755
1962-04-30,398.14814814814815,425.4034085528684
1962-05-31,576.836917562724,600.7008206180739
1962-06-30,1140.0462962962963,1074.916360735097
1962-07-31,1490.068697729988,1404.7956892560692
1962-08-31,1239.9193548387098,1124.6883267486392
1962-09-30,694.8302469135804,666.6069707120441
1962-10-31,732.1535244922342,695.5638473872568
1962-11-30,456.0185185185185,440.45451083160094
1962-12-31,214.0083632019116,211.50097732608364
1963-01-31,141.98775388291517,154.4711183195709
1963-02-28,137.97949735449737,153.4774041049612
1963-03-31,212.320788530466,204.47961943923073
1963-04-30,283.9891975308642,297.5076317535872
1963-05-31,467.81660692951016,473.71881628137226
1963-06-30,675.1543209876543,673.5536333022284
1963-07-31,1519.937275985663,1514.9712518423246
1963-08-31,1199.9701314217443,1164.6503104663661
1963-09-30,2219.9074074074074,2245.0430814816896
1963-10-31,1630.077658303465,1565.0171006103192
1963-11-30,574.8456790123457,564.7225860560084
1963-12-31,266.9877538829152,281.49047030460673
1964-01-31,202.99432497013143,217.47660105957547
1964-02-29,191.01213282247764,209.47132581660452
1964-03-31,251.00806451612905,266.5140633225428
1964-04-30,405.0925925925926,429.64859124686996
1964-05-31,585.0507765830347,591.7373850178361
1964-06-30,623.8425925925927,612.5773727883889
1964-07-31,1810.0358422939069,1845.1244631177483
1964-08-31,1410.1702508960575,1324.871721820616
1964-09-30,1410.1080246913575,1384.814697397206
1964-10-31,1249.9999999999998,1184.818040566901
1964-11-30,584.8765432098766,565.4944374265136
1964-12-31,275.01493428912784,281.49047030460673
1965-01-31,197.99133811230587,210.4925908210569
1965-02-28,207.010582010582,214.4674476794957
1965-03-31,227.0011947431302,234.50712870002715
1965-04-30,349.99999999999994,372.5315877275772
1965-05-31,586.9175627240144,602.56820303479
1965-06-30,866.1265432098766,849.535752253563
1965-07-31,1500.1493428912784,1464.925403074331
1965-08-31,794.1308243727599,736.6462605550131
1965-09-30,996.141975308642,989.6267811469676
1965-10-31,823.9994026284348,803.4985510734529
1965-11-30,417.0524691358025,394.52935259649405
1965-12-31,213.00029868578247,193.46206318060516
1966-01-31,173.98446833930706,194.4704496856319
1966-02-28,166.9973544973545,183.4969102982575
1966-03-31,227.0011947431302,249.48353568209106
1966-04-30,310.9953703703704,326.52924435257916
1966-05-31,368.0182198327359,373.55242344871544
1966-06-30,447.9166666666667,449.71672761851335
1966-07-31,1049.8805256869773,1074.6424779806453
1966-08-31,1749.9253285543607,1714.7811704309577
1966-09-30,2010.030864197531,2035.099500978343
1966-10-31,1440.0388291517324,1374.9175705886096
1966-11-30,601.8518518518518,593.6670135151094
1966-12-31,285.9916367980884,297.5126114400317
1967-01-31,206.0185185185185,225.50634545145505
1967-02-28,192.9976851851852,210.49792619939038
1967-03-31,249.7759856630824,272.48968705603465
1967-04-30,347.9938271604938,385.5372837991999
1967-05-31,1109.9910394265232,1124.6883267486392
1967-06-30,1170.138888888889,1154.8029805222156
1967-07-31,1969.8327359617683,2055.018246756649
1967-08-31,1649.8655913978494,1604.9790843280455
1967-09-30,2359.953703703704,2425.270383127027
1967-10-31,1540.0985663082438,1534.7655054595166
1967-11-30,812.1141975308642,744.5639620018896
1967-12-31,353.00925925925924,332.5073579292934
1968-01-31,255.0029868578256,263.4889038074626
1968-02-29,229.00702426564496,235.5013489052546
1968-03-31,307.0116487455198,314.5057914321491
1968-04-30,500.0,515.7100222252639
1968-05-31,1189.889486260454,1174.7341755166337
1968-06-30,1160.108024691358,1134.7348441505724
1968-07-31,1419.8775388291515,1354.7498404880748
1968-08-31,974.8357228195938,945.7930912272273
1968-09-30,2040.123456790124,2075.23577372163
1968-10-31,1220.131421744325,1154.9399218994413
1968-11-30,562.8858024691358,537.7077870941807
1968-12-31,315.00149342891274,298.5209979450585
1969-01-31,234.9910394265233,235.291429315048
