date,flow,E-MLR
1960-01-31,156.99671445639189,127.94002475015337
1960-02-29,178.00127713920818,133.4611555671028
1960-03-31,225.9931302270012,146.64315218253753
1960-04-30,269.9845679012346,372.47500030887943
1960-05-31,298.0137395459976,639.2613083964444
1960-06-30,609.9537037037037,691.5045402386077
1960-07-31,1199.9701314217443,913.689414346968
1960-08-31,1410.1702508960575,985.9769808454413
1960-09-30,1150.0771604938273,856.2033743205269
1960-10-31,900.1642771804062,655.2441892875148
1960-11-30,550.1543209876543,347.5559567697775
1960-12-31,280.98864994026286,234.47513962086083
1961-01-31,219.0113500597372,172.79749656077806
1961-02-28,214.9884259259259,114.24846261040453
1961-03-31,279.00985663082434,147.30930036652427
1961-04-30,525.0771604938271,593.6018228148587
1961-05-31,701.9115890083632,574.6859840327708
1961-06-30,849.9228395061729,673.8525518490142
1961-07-31,1749.9253285543607,992.7892997014287
1961-08-31,1210.0507765830346,1045.6932069766644
1961-09-30,1260.0308641975307,1057.6475717770245
1961-10-31,1479.9880525686976,963.137821772103
1961-11-30,880.0154320987655,612.1905417031738
1961-12-31,368.9889486260453,424.44535975496484
1962-01-31,256.98178016726405,340.7983038333343
1962-02-28,234.99503968253967,223.43505399075084
1962-03-31,289.35185185185185,243.88787210113622
1962-04-30,444.0586419753087,631.988434603752
1962-05-31,617.9062126642772,679.5729140983601
1962-06-30,1160.108024691358,826.8660666380158
1962-07-31,1490.068697729988,1198.1901170294982
1962-08-31,1260.0806451612902,1488.3257331159307
1962-09-30,755.0154320987655,1225.7215155985052
1962-10-31,778.0764635603346,1001.1143242738638
1962-11-30,511.1882716049383,624.8019277265252
1962-12-31,275.98566308243727,439.4082884360003
1963-01-31,176.00059737156514,356.1997977405639
1963-02-28,188.98809523809524,264.32756701238804
1963-03-31,247.98387096774192,244.76693217764262
1963-04-30,331.01851851851853,495.1545144573732
1963-05-31,523.8201911589008,705.7360755018585
1963-06-30,714.8919753,858.7549824758727
1963-07-31,1609.9163679808842,1460.3845828655196
1963-08-31,1310.110513739546,1649.8859694569078
1963-09-30,2369.984567901234,1905.9565287787939
1963-10-31,1870.1463560334528,1671.2606897852181
1963-11-30,694.8302469135804,920.5390349523186
1963-12-31,340.0164277180406,544.9171563542076
1964-01-31,238.98596176821985,314.24627182310616
1964-02-29,253.9910600255428,163.56260663690742
1964-03-31,318.9964157706093,203.084074790824
1964-04-30,486.1111111111111,508.1732029311487
1964-05-31,670.9229390681004,630.8833754303583
1964-06-30,719.9074074074074,887.0901048410424
1964-07-31,2000.0746714456395,2069.429524413932
1964-08-31,1540.0985663082438,1993.0890820073857
1964-09-30,1599.9228395061727,1757.166515038326
1964-10-31,1369.847670250896,1664.7603084750172
1964-11-30,652.0061728395061,1013.853631843267
1964-12-31,332.9973118,630.3167422796174
1965-01-31,238.98596176821985,384.26743974212917
1965-02-28,265.54232804232805,243.87618981560536
1965-03-31,283.0047789725209,332.9764219327224
1965-04-30,432.8703703703704,559.6697737750925
1965-05-31,667.9360812425329,791.9666699286147
1965-06-30,935.1851851851852,979.5388564264604
1965-07-31,1569.9671445639185,1759.458633507299
1965-08-31,838.9336917562724,1632.8710584861083
1965-09-30,1050.1543209876545,1376.8138498954668
1965-10-31,869.9223416965352,1125.519911636776
1965-11-30,447.9166666666667,650.5806056526868
1965-12-31,223.0062724014337,405.21014399510597
1966-01-31,187.0146356033453,221.44533278191133
1966-02-28,187.00396825396825,168.88656125437777
1966-03-31,244.99701314217444,203.26219106677027
1966-04-30,334.99228395061726,398.47875606502623
1966-05-31,405.0925925925926,710.1681376071988
1966-06-30,484.1820987654321,895.6486960024627
1966-07-31,1040.1732377538829,1322.1040709298622
1966-08-31,1780.1672640382317,2132.422758034874
1966-09-30,2060.185185185185,1964.8320823298363
1966-10-31,1469.9074074074072,1362.6914107683763
1966-11-30,635.0308641975308,749.3979186998281
1966-12-31,325.0074671445639,404.3799220954509
1967-01-31,243.9889486260454,288.4793925331318
1967-02-28,218.0059523809524,198.58615346643043
1967-03-31,270.98267622461174,213.95175256249757
1967-04-30,369.9845679012346,373.7070513823869
1967-05-31,1160.020908004779,882.3299518711648
1967-06-30,1219.9074074074074,913.3003968800618
1967-07-31,2113.575268817204,1352.3746498704618
