date,flow,E-MLR
1960-01-31,123.99193548387096,22.1693367481675
1960-02-29,135.01756066411238,151.3453929437453
1960-03-31,182.9823775388292,231.87052570872822
1960-04-30,220.98765432098764,419.8463161660779
1960-05-31,252.01612903225808,594.545124448479
1960-06-30,574.074074074074,706.1832844261315
1960-07-31,1180.1821983273596,884.2090701141652
1960-08-31,1279.868578255675,917.5189434382366
1960-09-30,1050.1543209876545,912.7169636604877
1960-10-31,819.1457586618877,644.5437162098498
1960-11-30,486.88271604938274,380.2875080897045
1960-12-31,219.0113500597372,170.21926312197223
1961-01-31,173.01373954599762,93.77786121638137
1961-02-28,167.989417989418,73.70012420868876
1961-03-31,241.0020908004779,218.81449928957616
1961-04-30,476.8518518518519,531.548884397895
1961-05-31,673.9097968936678,553.9114255279749
1961-06-30,834.104938271605,732.692994267932
1961-07-31,1699.895459976105,959.4184337928282
1961-08-31,1099.910394265233,1002.6307714517508
1961-09-30,1079.861111111111,908.7934907356617
1961-10-31,1310.110513739546,884.3259139366239
1961-11-30,755.0154320987655,583.2393390193232
1961-12-31,286.9997013142174,223.5300092349083
1962-01-31,196.01254480286727,156.19421513341956
1962-02-28,192.00562169312167,158.1095620397788
1962-03-31,205.01045400238948,261.9339208378591
1962-04-30,398.14814814814815,605.720122482387
1962-05-31,576.836917562724,636.7321307755667
1962-06-30,1140.0462962962963,777.956413695853
1962-07-31,1490.068697729988,1222.4602867310005
1962-08-31,1239.9193548387098,1381.2803009890522
1962-09-30,694.8302469135804,1172.6533097680426
1962-10-31,732.1535244922342,1002.9177562363371
1962-11-30,456.0185185185185,625.8442315172525
1962-12-31,214.0083632019116,319.0788366747083
1963-01-31,141.98775388291517,171.36611327021552
1963-02-28,137.97949735449737,203.8459952937999
1963-03-31,212.320788530466,275.12762087220705
1963-04-30,283.9891975308642,520.301224007215
1963-05-31,467.81660692951016,665.8528814618008
1963-06-30,675.1543209876543,787.3668955067218
1963-07-31,1519.937275985663,1350.078785097554
1963-08-31,1199.9701314217443,1572.7808827228348
1963-09-30,2219.9074074074074,1905.507502449621
1963-10-31,1630.077658303465,1575.1594494514584
1963-11-30,574.8456790123457,870.018212729647
1963-12-31,266.9877538829152,411.1347283415397
1964-01-31,202.99432497013143,173.37573498502877
1964-02-29,191.01213282247764,133.63111863677813
1964-03-31,251.00806451612905,274.396188666016
1964-04-30,405.0925925925926,540.5026006074589
1964-05-31,585.0507765830347,561.9998615175475
1964-06-30,623.8425925925927,799.8308391341886
1964-07-31,1810.0358422939069,1890.2527597826281
1964-08-31,1410.1702508960575,1832.2874003047689
1964-09-30,1410.1080246913575,1652.2784532209484
1964-10-31,1249.9999999999998,1550.3871498178457
1964-11-30,584.8765432098766,953.945089925963
1964-12-31,275.01493428912784,489.856098361039
1965-01-31,197.99133811230587,244.3714641523857
1965-02-28,207.010582010582,197.40235274722377
1965-03-31,227.0011947431302,330.5242802030985
1965-04-30,349.99999999999994,551.6240878983431
1965-05-31,586.9175627240144,708.6450625901505
1965-06-30,866.1265432098766,940.7159986343827
1965-07-31,1500.1493428912784,1674.9567001201676
1965-08-31,794.1308243727599,1457.494940530815
1965-09-30,996.141975308642,1335.1031400369268
1965-10-31,823.9994026284348,1107.558934541807
1965-11-30,417.0524691358025,598.2920670420827
1965-12-31,213.00029868578247,247.61338548036403
1966-01-31,173.98446833930706,145.6586636259123
1966-02-28,166.9973544973545,163.18101631029955
1966-03-31,227.0011947431302,303.09415673744746
1966-04-30,310.9953703703704,448.1529582474909
1966-05-31,368.0182198327359,633.8730659545108
